公告信息,#genre#
请阅读,https://liuliuliu.tv/api/channels/1997/stream
yuanzl77.github.io,https://liuliuliu.tv/api/channels/233/stream
更新日期,https://gitlab.com/lr77/IPTV/-/raw/main/%E4%B8%BB%E8%A7%92.mp4
2024-07-19,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
央视频道,#genre#
CCTV1,http://171.8.245.118:808/hls/1/index.m3u8$LR•IPV4『线路1』
CCTV1,http://124.112.203.209:18888/rtp/238.1.78.166:7200$LR•IPV4『线路2』
CCTV1,http://27.11.51.239:8001/udp/225.0.4.74:7980$LR•IPV4『线路3』
CCTV1,http://27.11.51.239:8002/udp/225.0.4.74:7980$LR•IPV4『线路4』
CCTV1,http://27.11.51.239:8004/udp/225.0.4.74:7980$LR•IPV4『线路5』
CCTV1,http://27.11.51.239:8005/udp/225.0.4.74:7980$LR•IPV4『线路6』
CCTV1,http://27.10.72.127:8002/udp/225.0.4.74:7980$LR•IPV4『线路7』
CCTV1,http://27.10.72.127:8003/udp/225.0.4.74:7980$LR•IPV4『线路8』
CCTV1,http://110.179.81.83:8083/udp/239.1.1.7:8007$LR•IPV4『线路9』
CCTV1,http://222.130.146.175:8888/rtp/239.3.1.129:8008$LR•IPV4『线路10』
CCTV1,http://114.254.85.192:2222/rtp/239.3.1.129:8008$LR•IPV4『线路11』
CCTV1,http://114.254.185.206:9999/rtp/239.3.1.129:8008$LR•IPV4『线路12』
CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8$LR•IPV4『线路13』
CCTV1,http://124.64.11.135:8888/rtp/239.3.1.129:8008$LR•IPV4『线路14』
CCTV1,http://118.248.166.19:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路15』
CCTV1,http://124.228.160.197:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路16』
CCTV1,http://119.39.97.2:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路17』
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路18』
CCTV1,http://175.8.213.198:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路19』
CCTV1,http://223.159.11.85:8099/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路20』
CCTV1,http://118.248.166.19:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路21』
CCTV1,http://nnth.7766.org:85//tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路22』
CCTV1,http://119.62.28.223:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路23』
CCTV1,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路24』
CCTV1,http://118.248.166.19:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路25』
CCTV2,http://124.112.203.209:18888/rtp/238.1.78.235:7752$LR•IPV4『线路1』
CCTV2,http://27.11.51.239:8001/udp/225.0.4.132:7980$LR•IPV4『线路2』
CCTV2,http://27.11.51.239:8002/udp/225.0.4.132:7980$LR•IPV4『线路3』
CCTV2,http://27.10.72.127:8004/udp/225.0.4.132:7980$LR•IPV4『线路4』
CCTV2,http://27.10.72.127:8002/udp/225.0.4.132:7980$LR•IPV4『线路5』
CCTV2,http://27.10.72.127:8003/udp/225.0.4.132:7980$LR•IPV4『线路6』
